CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.5kB / 2.71kB    0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.38kB / 2.5kB    0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.16MiB / 2GiB        0.30%     5.14kB / 3.17kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     8.012MiB / 2GiB       0.39%     5.02kB / 3.08kB   0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     10.65MiB / 2GiB       0.52%     1.49MB / 494kB    0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     10.73MiB / 2GiB       0.52%     1.5MB / 505kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    1.52%     206.7MiB / 7.761GiB   2.60%     6.93MB / 4.74MB   0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    2.05%     183.4MiB / 7.761GiB   2.31%     7.03MB / 3.49MB   0B / 3MB        14
938ea455601a   orderer0.example.com                      0.04%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.24MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            93.51%    450.1MiB / 7.761GiB   5.66%     963kB / 2.83MB    0B / 4.02MB     41
3d5780825209   couchdb.peer0.org2.example.com            95.11%    464.4MiB / 7.761GiB   5.84%     967kB / 2.99MB    0B / 4.01MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.59kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.41kB / 2.54kB   0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.15kB / 2.42kB   0B / 0B         7
